event.week,event.year,location.point
20,"2,023","41.65638,2.41659999999999"
20,"2,023","41.65636,2.41659"
20,"2,023","41.65635,2.41659"
20,"2,023","41.65636,2.41659"
20,"2,023","41.63456,35.52074"
20,"2,023","41.65755,2.41863000000001"
20,"2,023","41.65755,2.41863000000001"
20,"2,023","41.65638,2.41659999999999"
20,"2,023","41.65637,2.41659"
20,"2,023","38.6374,-0.765499999999995"
20,"2,023","43.63285,5.48275"
20,"2,023","43.63322,5.48167"
20,"2,023","41.65756,2.41861000000001"
20,"2,023","41.65755,2.41863000000001"
20,"2,023","41.65638,2.41659"
20,"2,023","41.65638,2.41659999999999"
20,"2,023","41.63456,35.52077"
20,"2,023","41.65753,2.41863999999999"
20,"2,023","41.65755,2.41863000000001"
20,"2,023","40.481,-3.96300000000002"
20,"2,023","37.146,-8.61199999999999"
20,"2,023","38.90907,-7.79103999999999"
20,"2,023","39.77459,19.95562"
20,"2,023","40.49541,-3.97893"
20,"2,023","42.03781,-4.41818"
20,"2,023","45.521,8.18999999999999"
20,"2,023","35.34753,33.15062"
20,"2,023","40.4005799999999,40.76601"
20,"2,023","39.62095,19.76897"
20,"2,023","39.61979,19.77526"
20,"2,023","39.61885,19.7741"
20,"2,023","39.61902,19.77741"
20,"2,023","40.6691199999999,-3.74172"
20,"2,023","42.47183,-9.00580999999999"
20,"2,023","39.7377399999999,19.76001"
20,"2,023","41.65571,2.41502"
20,"2,023","41.65524,2.41535000000002"
20,"2,023","41.65617,2.41605"
20,"2,023","41.65618,2.41598000000001"
20,"2,023","41.65618,2.41598000000001"
20,"2,023","41.65618,2.41598000000001"
20,"2,023","41.65618,2.41598000000001"
20,"2,023","52.67086,0.181200000000001"
20,"2,023","36.552,-5.285"
20,"2,023","41.65558,2.41509999999999"
20,"2,023","41.65495,2.41553000000001"
20,"2,023","41.65482,2.41562000000001"
20,"2,023","41.6544299999999,2.41802000000001"
20,"2,023","41.65618,2.41598000000001"
20,"2,023","41.65618,2.41598000000001"
20,"2,023","41.65618,2.41598000000001"
20,"2,023","51.21228,5.94960000000001"
20,"2,023","52.67086,0.181200000000001"
20,"2,023","52.67086,0.181200000000001"
20,"2,023","52.67086,0.181200000000001"
20,"2,023","40.4005799999999,40.76601"
20,"2,023","39.61549,19.77941"
20,"2,023","40.4005799999999,40.76601"
20,"2,023","40.4005799999999,40.76601"
20,"2,023","39.61885,19.7741"
20,"2,023","39.62005,19.7761"
20,"2,023","39.61591,19.77805"
20,"2,023","39.61419,19.78128"
20,"2,023","41.65573,2.415"
20,"2,023","41.6557,2.415"
20,"2,023","41.65569,2.415"
20,"2,023","41.65566,2.41504000000001"
20,"2,023","41.65564,2.41505"
20,"2,023","41.65618,2.41598000000001"
20,"2,023","52.67081,0.181190000000012"
20,"2,023","52.67085,0.181209999999989"
20,"2,023","52.67086,0.181200000000001"
20,"2,023","42.47019,-9.00322999999996"
20,"2,023","40.67217,-3.74053"
20,"2,023","36.54994,-5.27599999999999"
20,"2,023","39.62207,19.76612"
20,"2,023","39.61936,19.77691"
20,"2,023","39.61428,19.78155"
20,"2,023","39.61549,19.77941"
20,"2,023","40.4005799999999,40.76601"
20,"2,023","42.858,27.891"
20,"2,023","41.65571,2.41502"
20,"2,023","41.65565,2.41504000000001"
20,"2,023","41.65558,2.41509999999999"
20,"2,023","41.6555,2.41908000000001"
20,"2,023","41.65551,2.41908999999999"
