gr,shape,colour,opacity,size
SP66,circle,"#000000",0.8,1
SP70,circle,"#000000",0.8,1
SP71,circle,"#000000",0.8,1
SP73,circle,"#000000",0.8,1
SP74,circle,"#000000",0.8,1
SP78,circle,"#000000",0.8,1
SP81,circle,"#000000",0.8,1
SP82,circle,"#000000",0.8,1
SP83,circle,"#000000",0.8,1
SP84,circle,"#000000",0.8,1
SP88,circle,"#000000",0.8,1
SP90,circle,"#000000",0.8,1
SP91,circle,"#000000",0.8,1
SP93,circle,"#000000",0.8,1
SP94,circle,"#000000",0.8,1
SP95,circle,"#000000",0.8,1
SP96,circle,"#000000",0.8,1
SP98,circle,"#000000",0.8,1
SS09,circle,"#000000",0.8,1
SS41,circle,"#000000",0.8,1
SS43,circle,"#000000",0.8,1
SS61,circle,"#000000",0.8,1
SS63,circle,"#000000",0.8,1
SS73,circle,"#000000",0.8,1
SS80,circle,"#000000",0.8,1
SS88,circle,"#000000",0.8,1
SS90,circle,"#000000",0.8,1
SS96,circle,"#000000",0.8,1
ST00,circle,"#000000",0.8,1
ST01,circle,"#000000",0.8,1
ST02,circle,"#000000",0.8,1
ST06,circle,"#000000",0.8,1
ST09,circle,"#000000",0.8,1
ST10,circle,"#000000",0.8,1
ST11,circle,"#000000",0.8,1
ST12,circle,"#000000",0.8,1
ST20,circle,"#000000",0.8,1
ST21,circle,"#000000",0.8,1
ST23,circle,"#000000",0.8,1
ST24,circle,"#000000",0.8,1
ST25,circle,"#000000",0.8,1
ST30,circle,"#000000",0.8,1
ST32,circle,"#000000",0.8,1
ST33,circle,"#000000",0.8,1
ST35,circle,"#000000",0.8,1
ST36,circle,"#000000",0.8,1
ST39,circle,"#000000",0.8,1
ST40,circle,"#000000",0.8,1
ST42,circle,"#000000",0.8,1
ST45,circle,"#000000",0.8,1
ST46,circle,"#000000",0.8,1
ST47,circle,"#000000",0.8,1
ST48,circle,"#000000",0.8,1
ST51,circle,"#000000",0.8,1
ST52,circle,"#000000",0.8,1
ST53,circle,"#000000",0.8,1
ST55,circle,"#000000",0.8,1
ST56,circle,"#000000",0.8,1
ST57,circle,"#000000",0.8,1
ST59,circle,"#000000",0.8,1
ST61,circle,"#000000",0.8,1
ST69,circle,"#000000",0.8,1
ST76,circle,"#000000",0.8,1
ST77,circle,"#000000",0.8,1
ST78,circle,"#000000",0.8,1
ST80,circle,"#000000",0.8,1
ST90,circle,"#000000",0.8,1
ST96,circle,"#000000",0.8,1
SU02,circle,"#000000",0.8,1
SU06,circle,"#000000",0.8,1
SU08,circle,"#000000",0.8,1
SU09,circle,"#000000",0.8,1
SU17,circle,"#000000",0.8,1
SU23,circle,"#000000",0.8,1
SU50,circle,"#000000",0.8,1
SU52,circle,"#000000",0.8,1
SU60,circle,"#000000",0.8,1
SU68,circle,"#000000",0.8,1
SU73,circle,"#000000",0.8,1
SU77,circle,"#000000",0.8,1
SU78,circle,"#000000",0.8,1
SU80,circle,"#000000",0.8,1
SU83,circle,"#000000",0.8,1
SU84,circle,"#000000",0.8,1
SU85,circle,"#000000",0.8,1
SU88,circle,"#000000",0.8,1
SU89,circle,"#000000",0.8,1
SU90,circle,"#000000",0.8,1
SU94,circle,"#000000",0.8,1
SU95,circle,"#000000",0.8,1
SU98,circle,"#000000",0.8,1
SU99,circle,"#000000",0.8,1
SV91,circle,"#000000",0.8,1
SW43,circle,"#000000",0.8,1
SW53,circle,"#000000",0.8,1
SW54,circle,"#000000",0.8,1
SW61,circle,"#000000",0.8,1
SW62,circle,"#000000",0.8,1
SW64,circle,"#000000",0.8,1
SW71,circle,"#000000",0.8,1
SW72,circle,"#000000",0.8,1
SW74,circle,"#000000",0.8,1
SW75,circle,"#000000",0.8,1
SW76,circle,"#000000",0.8,1
SW84,circle,"#000000",0.8,1
SW85,circle,"#000000",0.8,1
SX08,circle,"#000000",0.8,1
SX45,circle,"#000000",0.8,1
SX47,circle,"#000000",0.8,1
SX56,circle,"#000000",0.8,1
SX57,circle,"#000000",0.8,1
SX64,circle,"#000000",0.8,1
SX65,circle,"#000000",0.8,1
SX66,circle,"#000000",0.8,1
SX68,circle,"#000000",0.8,1
SX73,circle,"#000000",0.8,1
SX74,circle,"#000000",0.8,1
SX75,circle,"#000000",0.8,1
SX76,circle,"#000000",0.8,1
SX77,circle,"#000000",0.8,1
SX78,circle,"#000000",0.8,1
SX79,circle,"#000000",0.8,1
SX83,circle,"#000000",0.8,1
SX84,circle,"#000000",0.8,1
SX86,circle,"#000000",0.8,1
SX87,circle,"#000000",0.8,1
SX88,circle,"#000000",0.8,1
SX89,circle,"#000000",0.8,1
SX95,circle,"#000000",0.8,1
SX96,circle,"#000000",0.8,1
SX97,circle,"#000000",0.8,1
SX98,circle,"#000000",0.8,1
SX99,circle,"#000000",0.8,1
SY07,circle,"#000000",0.8,1
SY08,circle,"#000000",0.8,1
SY18,circle,"#000000",0.8,1
SY19,circle,"#000000",0.8,1
SY28,circle,"#000000",0.8,1
SY29,circle,"#000000",0.8,1
SY67,circle,"#000000",0.8,1
SY88,circle,"#000000",0.8,1
SY98,circle,"#000000",0.8,1
SZ09,circle,"#000000",0.8,1
SZ39,circle,"#000000",0.8,1
SZ58,circle,"#000000",0.8,1
SZ68,circle,"#000000",0.8,1
SZ69,circle,"#000000",0.8,1
TA04,circle,"#000000",0.8,1
TA05,circle,"#000000",0.8,1
TA10,circle,"#000000",0.8,1
TA11,circle,"#000000",0.8,1
TA12,circle,"#000000",0.8,1
TA22,circle,"#000000",0.8,1
TA32,circle,"#000000",0.8,1
TA41,circle,"#000000",0.8,1
TF00,circle,"#000000",0.8,1
TF04,circle,"#000000",0.8,1
TF10,circle,"#000000",0.8,1
TF13,circle,"#000000",0.8,1
TF16,circle,"#000000",0.8,1
TF18,circle,"#000000",0.8,1
TF41,circle,"#000000",0.8,1
TF51,circle,"#000000",0.8,1
TF55,circle,"#000000",0.8,1
TF60,circle,"#000000",0.8,1
TF61,circle,"#000000",0.8,1
TF63,circle,"#000000",0.8,1
TF64,circle,"#000000",0.8,1
TF72,circle,"#000000",0.8,1
TF80,circle,"#000000",0.8,1
TF83,circle,"#000000",0.8,1
TF90,circle,"#000000",0.8,1
TF92,circle,"#000000",0.8,1
TG01,circle,"#000000",0.8,1
TG02,circle,"#000000",0.8,1
TG10,circle,"#000000",0.8,1
TG12,circle,"#000000",0.8,1
TG13,circle,"#000000",0.8,1
TG14,circle,"#000000",0.8,1
TG20,circle,"#000000",0.8,1
TG21,circle,"#000000",0.8,1
TG22,circle,"#000000",0.8,1
TG23,circle,"#000000",0.8,1
TG30,circle,"#000000",0.8,1
TG31,circle,"#000000",0.8,1
TG33,circle,"#000000",0.8,1
TG41,circle,"#000000",0.8,1
TG42,circle,"#000000",0.8,1
TL00,circle,"#000000",0.8,1
TL01,circle,"#000000",0.8,1
TL02,circle,"#000000",0.8,1
TL03,circle,"#000000",0.8,1
TL04,circle,"#000000",0.8,1
TL05,circle,"#000000",0.8,1
TL06,circle,"#000000",0.8,1
TL07,circle,"#000000",0.8,1
TL08,circle,"#000000",0.8,1
TL10,circle,"#000000",0.8,1
TL11,circle,"#000000",0.8,1
TL12,circle,"#000000",0.8,1
TL13,circle,"#000000",0.8,1
TL14,circle,"#000000",0.8,1
TL16,circle,"#000000",0.8,1
TL17,circle,"#000000",0.8,1
TL18,circle,"#000000",0.8,1
TL19,circle,"#000000",0.8,1
TL20,circle,"#000000",0.8,1
TL21,circle,"#000000",0.8,1
TL23,circle,"#000000",0.8,1
TL25,circle,"#000000",0.8,1
TL26,circle,"#000000",0.8,1
TL27,circle,"#000000",0.8,1
TL28,circle,"#000000",0.8,1
TL30,circle,"#000000",0.8,1
TL31,circle,"#000000",0.8,1
TL32,circle,"#000000",0.8,1
TL33,circle,"#000000",0.8,1
TL37,circle,"#000000",0.8,1
TL38,circle,"#000000",0.8,1
TL41,circle,"#000000",0.8,1
TL42,circle,"#000000",0.8,1
TL43,circle,"#000000",0.8,1
TL44,circle,"#000000",0.8,1
TL45,circle,"#000000",0.8,1
TL51,circle,"#000000",0.8,1
TL53,circle,"#000000",0.8,1
TL54,circle,"#000000",0.8,1
TL55,circle,"#000000",0.8,1
TL60,circle,"#000000",0.8,1
TL61,circle,"#000000",0.8,1
TL62,circle,"#000000",0.8,1
TL63,circle,"#000000",0.8,1
TL66,circle,"#000000",0.8,1
TL68,circle,"#000000",0.8,1
TL71,circle,"#000000",0.8,1
TL72,circle,"#000000",0.8,1
TL73,circle,"#000000",0.8,1
TL75,circle,"#000000",0.8,1
TL76,circle,"#000000",0.8,1
TL78,circle,"#000000",0.8,1
TL81,circle,"#000000",0.8,1
TL88,circle,"#000000",0.8,1
TL89,circle,"#000000",0.8,1
TL91,circle,"#000000",0.8,1
TL92,circle,"#000000",0.8,1
TL93,circle,"#000000",0.8,1
TL98,circle,"#000000",0.8,1
TL99,circle,"#000000",0.8,1
TM00,circle,"#000000",0.8,1
TM01,circle,"#000000",0.8,1
TM02,circle,"#000000",0.8,1
TM05,circle,"#000000",0.8,1
TM07,circle,"#000000",0.8,1
TM08,circle,"#000000",0.8,1
TM12,circle,"#000000",0.8,1
TM14,circle,"#000000",0.8,1
TM15,circle,"#000000",0.8,1
TM17,circle,"#000000",0.8,1
TM18,circle,"#000000",0.8,1
TM19,circle,"#000000",0.8,1
TM21,circle,"#000000",0.8,1
TM23,circle,"#000000",0.8,1
TM27,circle,"#000000",0.8,1
TM28,circle,"#000000",0.8,1
TM29,circle,"#000000",0.8,1
TM35,circle,"#000000",0.8,1
TM37,circle,"#000000",0.8,1
TM38,circle,"#000000",0.8,1
TM39,circle,"#000000",0.8,1
TM45,circle,"#000000",0.8,1
TM46,circle,"#000000",0.8,1
TM48,circle,"#000000",0.8,1
TM49,circle,"#000000",0.8,1
TM58,circle,"#000000",0.8,1
TM59,circle,"#000000",0.8,1
TQ00,circle,"#000000",0.8,1
TQ05,circle,"#000000",0.8,1
TQ06,circle,"#000000",0.8,1
TQ07,circle,"#000000",0.8,1
TQ08,circle,"#000000",0.8,1
TQ09,circle,"#000000",0.8,1
TQ11,circle,"#000000",0.8,1
TQ14,circle,"#000000",0.8,1
TQ16,circle,"#000000",0.8,1
TQ17,circle,"#000000",0.8,1
TQ18,circle,"#000000",0.8,1
TQ19,circle,"#000000",0.8,1
TQ21,circle,"#000000",0.8,1
TQ23,circle,"#000000",0.8,1
TQ24,circle,"#000000",0.8,1
TQ25,circle,"#000000",0.8,1
TQ26,circle,"#000000",0.8,1
TQ27,circle,"#000000",0.8,1
TQ28,circle,"#000000",0.8,1
TQ29,circle,"#000000",0.8,1
TQ30,circle,"#000000",0.8,1
TQ32,circle,"#000000",0.8,1
TQ34,circle,"#000000",0.8,1
TQ35,circle,"#000000",0.8,1
TQ36,circle,"#000000",0.8,1
TQ37,circle,"#000000",0.8,1
TQ38,circle,"#000000",0.8,1
TQ39,circle,"#000000",0.8,1
TQ40,circle,"#000000",0.8,1
TQ41,circle,"#000000",0.8,1
TQ43,circle,"#000000",0.8,1
TQ44,circle,"#000000",0.8,1
TQ45,circle,"#000000",0.8,1
TQ46,circle,"#000000",0.8,1
TQ47,circle,"#000000",0.8,1
TQ48,circle,"#000000",0.8,1
TQ50,circle,"#000000",0.8,1
TQ54,circle,"#000000",0.8,1
TQ57,circle,"#000000",0.8,1
TQ58,circle,"#000000",0.8,1
TQ60,circle,"#000000",0.8,1
TQ63,circle,"#000000",0.8,1
TQ66,circle,"#000000",0.8,1
TQ67,circle,"#000000",0.8,1
TQ68,circle,"#000000",0.8,1
TQ74,circle,"#000000",0.8,1
TQ76,circle,"#000000",0.8,1
TQ77,circle,"#000000",0.8,1
TQ78,circle,"#000000",0.8,1
TQ79,circle,"#000000",0.8,1
TQ85,circle,"#000000",0.8,1
TQ86,circle,"#000000",0.8,1
TQ89,circle,"#000000",0.8,1
TQ92,circle,"#000000",0.8,1
TQ93,circle,"#000000",0.8,1
TQ94,circle,"#000000",0.8,1
TQ95,circle,"#000000",0.8,1
TQ96,circle,"#000000",0.8,1
TQ98,circle,"#000000",0.8,1
TQ99,circle,"#000000",0.8,1
TR01,circle,"#000000",0.8,1
TR02,circle,"#000000",0.8,1
TR03,circle,"#000000",0.8,1
TR04,circle,"#000000",0.8,1
TR05,circle,"#000000",0.8,1
TR06,circle,"#000000",0.8,1
TR07,circle,"#000000",0.8,1
TR09,circle,"#000000",0.8,1
TR13,circle,"#000000",0.8,1
TR15,circle,"#000000",0.8,1
TR24,circle,"#000000",0.8,1
TR34,circle,"#000000",0.8,1
TR36,circle,"#000000",0.8,1
TV59,circle,"#000000",0.8,1
WA50,circle,"#000000",0.8,1
WA60,circle,"#000000",0.8,1
WV27,circle,"#000000",0.8,1
WV37,circle,"#000000",0.8,1
WV38,circle,"#000000",0.8,1
WV47,circle,"#000000",0.8,1
WV55,circle,"#000000",0.8,1
