gr,richness,caption,colour,shape,opacity,size
NN94A,682,Number of taxa: 682,#BCC812,circle,0.9,0.9
NN95A,924,Number of taxa: 924,#B7AD13,circle,0.9,0.9
NN96A,720,Number of taxa: 720,#BCC812,circle,0.9,0.9
NO00A,732,Number of taxa: 732,#BCC812,circle,0.9,0.9
NO01A,750,Number of taxa: 750,#B7AD13,circle,0.9,0.9
NO02A,813,Number of taxa: 813,#B7AD13,circle,0.9,0.9
NO03A,726,Number of taxa: 726,#BCC812,circle,0.9,0.9
NO04A,789,Number of taxa: 789,#B7AD13,circle,0.9,0.9
NO06A,644,Number of taxa: 644,#BCC812,circle,0.9,0.9
NO11A,733,Number of taxa: 733,#BCC812,circle,0.9,0.9
NO12A,994,Number of taxa: 994,#B7AD13,circle,0.9,0.9
NO14A,805,Number of taxa: 805,#B7AD13,circle,0.9,0.9
NO23A,690,Number of taxa: 690,#BCC812,circle,0.9,0.9
NO25A,670,Number of taxa: 670,#BCC812,circle,0.9,0.9
NO26A,441,Number of taxa: 441,#C1E311,circle,0.9,0.9
NO32A,895,Number of taxa: 895,#B7AD13,circle,0.9,0.9
NO35A,673,Number of taxa: 673,#BCC812,circle,0.9,0.9
NO40A,875,Number of taxa: 875,#B7AD13,circle,0.9,0.9
NO43A,747,Number of taxa: 747,#BCC812,circle,0.9,0.9
NO47A,498,Number of taxa: 498,#C1E311,circle,0.9,0.9
NO49A,528,Number of taxa: 528,#BCC812,circle,0.9,0.9
NO57A,511,Number of taxa: 511,#BCC812,circle,0.9,0.9
NO58A,301,Number of taxa: 301,#C1E311,circle,0.9,0.9
NO59A,530,Number of taxa: 530,#BCC812,circle,0.9,0.9
NO67A,489,Number of taxa: 489,#C1E311,circle,0.9,0.9
NO68A,367,Number of taxa: 367,#C1E311,circle,0.9,0.9
NO69A,718,Number of taxa: 718,#BCC812,circle,0.9,0.9
NO76A,752,Number of taxa: 752,#B7AD13,circle,0.9,0.9
NO77A,521,Number of taxa: 521,#BCC812,circle,0.9,0.9
NO79A,797,Number of taxa: 797,#B7AD13,circle,0.9,0.9
NO89A,674,Number of taxa: 674,#BCC812,circle,0.9,0.9
NR26A,640,Number of taxa: 640,#BCC812,circle,0.9,0.9
NR36A,680,Number of taxa: 680,#BCC812,circle,0.9,0.9
NR46A,611,Number of taxa: 611,#BCC812,circle,0.9,0.9
NR86A,578,Number of taxa: 578,#BCC812,circle,0.9,0.9
NR88A,696,Number of taxa: 696,#BCC812,circle,0.9,0.9
NR89A,683,Number of taxa: 683,#BCC812,circle,0.9,0.9
NR92A,652,Number of taxa: 652,#BCC812,circle,0.9,0.9
NR93A,535,Number of taxa: 535,#BCC812,circle,0.9,0.9
NR97A,527,Number of taxa: 527,#BCC812,circle,0.9,0.9
NR98A,516,Number of taxa: 516,#BCC812,circle,0.9,0.9
NR99A,492,Number of taxa: 492,#C1E311,circle,0.9,0.9
NS02A,736,Number of taxa: 736,#BCC812,circle,0.9,0.9
NS03A,764,Number of taxa: 764,#B7AD13,circle,0.9,0.9
NS06A,838,Number of taxa: 838,#B7AD13,circle,0.9,0.9
NS09A,494,Number of taxa: 494,#C1E311,circle,0.9,0.9
NS15A,820,Number of taxa: 820,#B7AD13,circle,0.9,0.9
NS16A,734,Number of taxa: 734,#BCC812,circle,0.9,0.9
NS17A,587,Number of taxa: 587,#BCC812,circle,0.9,0.9
NS30A,563,Number of taxa: 563,#BCC812,circle,0.9,0.9
NS38A,1053,Number of taxa: 1053,#B29215,circle,0.9,0.9
NS41A,514,Number of taxa: 514,#BCC812,circle,0.9,0.9
NS43A,616,Number of taxa: 616,#BCC812,circle,0.9,0.9
NS52A,561,Number of taxa: 561,#BCC812,circle,0.9,0.9
NS68A,527,Number of taxa: 527,#BCC812,circle,0.9,0.9
NS72A,461,Number of taxa: 461,#C1E311,circle,0.9,0.9
NS79A,732,Number of taxa: 732,#BCC812,circle,0.9,0.9
NT03A,702,Number of taxa: 702,#BCC812,circle,0.9,0.9
NT11A,492,Number of taxa: 492,#C1E311,circle,0.9,0.9
NT13A,674,Number of taxa: 674,#BCC812,circle,0.9,0.9
NT14A,648,Number of taxa: 648,#BCC812,circle,0.9,0.9
NT15A,685,Number of taxa: 685,#BCC812,circle,0.9,0.9
NT16A,913,Number of taxa: 913,#B7AD13,circle,0.9,0.9
NT17A,1142,Number of taxa: 1142,#B29215,circle,0.9,0.9
NT22A,521,Number of taxa: 521,#BCC812,circle,0.9,0.9
NT23A,707,Number of taxa: 707,#BCC812,circle,0.9,0.9
NT24A,806,Number of taxa: 806,#B7AD13,circle,0.9,0.9
NT26A,1085,Number of taxa: 1085,#B29215,circle,0.9,0.9
NT27A,1578,Number of taxa: 1578,#A85C17,circle,0.9,0.9
NT31A,563,Number of taxa: 563,#BCC812,circle,0.9,0.9
NT33A,745,Number of taxa: 745,#BCC812,circle,0.9,0.9
NT34A,485,Number of taxa: 485,#C1E311,circle,0.9,0.9
NT35A,778,Number of taxa: 778,#B7AD13,circle,0.9,0.9
