gr,freq,shape,colour,opacity,size
L64,7,circlerad,black,0.8,1
L65,5,circlerad,black,0.8,1
L66,6,circlerad,black,0.8,1
L67,3,circlerad,black,0.8,1
L68,4,circlerad,black,0.8,1
L69,1,circlerad,black,0.8,1
L71,1,circlerad,black,0.8,1
L72,3,circlerad,black,0.8,1
L73,8,circlerad,black,0.8,1
L74,5,circlerad,black,0.8,1
L75,6,circlerad,black,0.8,1
L76,9,circlerad,black,0.8,1
L77,6,circlerad,black,0.8,1
L78,6,circlerad,black,0.8,1
L79,7,circlerad,black,0.8,1
L80,6,circlerad,black,0.8,1
L81,5,circlerad,black,0.8,1
L82,6,circlerad,black,0.8,1
L83,3,circlerad,black,0.8,1
L84,7,circlerad,black,0.8,1
L85,4,circlerad,black,0.8,1
L86,7,circlerad,black,0.8,1
L87,5,circlerad,black,0.8,1
L88,4,circlerad,black,0.8,1
L89,7,circlerad,black,0.8,1
L90,8,circlerad,black,0.8,1
L92,2,circlerad,black,0.8,1
L93,4,circlerad,black,0.8,1
L94,4,circlerad,black,0.8,1
L95,4,circlerad,black,0.8,1
L96,3,circlerad,black,0.8,1
L97,4,circlerad,black,0.8,1
L98,9,circlerad,black,0.8,1
L99,8,circlerad,black,0.8,1
M00,1,circlerad,black,0.8,1
M02,7,circlerad,black,0.8,1
M03,5,circlerad,black,0.8,1
M04,5,circlerad,black,0.8,1
M05,5,circlerad,black,0.8,1
M06,9,circlerad,black,0.8,1
M07,6,circlerad,black,0.8,1
M08,6,circlerad,black,0.8,1
M09,8,circlerad,black,0.8,1
M10,13,circlerad,black,0.8,1
M11,2,circlerad,black,0.8,1
M12,5,circlerad,black,0.8,1
M13,9,circlerad,black,0.8,1
M14,10,circlerad,black,0.8,1
M15,13,circlerad,black,0.8,1
M16,11,circlerad,black,0.8,1
M17,8,circlerad,black,0.8,1
M18,5,circlerad,black,0.8,1
M19,4,circlerad,black,0.8,1
M20,17,circlerad,black,0.8,1
M21,7,circlerad,black,0.8,1
M22,11,circlerad,black,0.8,1
M23,12,circlerad,black,0.8,1
M24,9,circlerad,black,0.8,1
M25,6,circlerad,black,0.8,1
M26,8,circlerad,black,0.8,1
M27,9,circlerad,black,0.8,1
M28,8,circlerad,black,0.8,1
M29,5,circlerad,black,0.8,1
M30,13,circlerad,black,0.8,1
M31,19,circlerad,black,0.8,1
M32,15,circlerad,black,0.8,1
M33,9,circlerad,black,0.8,1
M34,4,circlerad,black,0.8,1
M35,4,circlerad,black,0.8,1
M36,6,circlerad,black,0.8,1
M37,10,circlerad,black,0.8,1
M38,8,circlerad,black,0.8,1
M39,8,circlerad,black,0.8,1
M40,12,circlerad,black,0.8,1
M41,14,circlerad,black,0.8,1
M42,8,circlerad,black,0.8,1
M43,7,circlerad,black,0.8,1
M44,5,circlerad,black,0.8,1
M45,1,circlerad,black,0.8,1
M46,9,circlerad,black,0.8,1
M47,6,circlerad,black,0.8,1
M48,9,circlerad,black,0.8,1
M49,7,circlerad,black,0.8,1
M50,8,circlerad,black,0.8,1
M51,9,circlerad,black,0.8,1
M52,11,circlerad,black,0.8,1
M53,2,circlerad,black,0.8,1
M54,3,circlerad,black,0.8,1
M55,5,circlerad,black,0.8,1
M56,7,circlerad,black,0.8,1
M57,15,circlerad,black,0.8,1
M58,10,circlerad,black,0.8,1
M59,7,circlerad,black,0.8,1
M60,8,circlerad,black,0.8,1
M61,9,circlerad,black,0.8,1
M62,7,circlerad,black,0.8,1
M63,8,circlerad,black,0.8,1
M64,3,circlerad,black,0.8,1
M65,3,circlerad,black,0.8,1
M66,7,circlerad,black,0.8,1
M67,11,circlerad,black,0.8,1
M68,13,circlerad,black,0.8,1
M69,11,circlerad,black,0.8,1
M70,9,circlerad,black,0.8,1
M71,3,circlerad,black,0.8,1
M72,5,circlerad,black,0.8,1
M73,5,circlerad,black,0.8,1
M74,5,circlerad,black,0.8,1
M75,8,circlerad,black,0.8,1
M76,13,circlerad,black,0.8,1
M77,9,circlerad,black,0.8,1
M78,12,circlerad,black,0.8,1
M79,12,circlerad,black,0.8,1
M80,7,circlerad,black,0.8,1
M81,3,circlerad,black,0.8,1
M82,12,circlerad,black,0.8,1
M83,10,circlerad,black,0.8,1
M84,12,circlerad,black,0.8,1
M85,7,circlerad,black,0.8,1
M86,8,circlerad,black,0.8,1
M87,7,circlerad,black,0.8,1
M88,8,circlerad,black,0.8,1
M89,5,circlerad,black,0.8,1
M90,6,circlerad,black,0.8,1
M91,10,circlerad,black,0.8,1
M92,17,circlerad,black,0.8,1
M93,6,circlerad,black,0.8,1
M94,10,circlerad,black,0.8,1
M95,11,circlerad,black,0.8,1
M96,13,circlerad,black,0.8,1
M97,5,circlerad,black,0.8,1
M98,10,circlerad,black,0.8,1
M99,17,circlerad,black,0.8,1
N00,12,circlerad,black,0.8,1
N01,14,circlerad,black,0.8,1
N02,7,circlerad,black,0.8,1
N03,13,circlerad,black,0.8,1
N04,10,circlerad,black,0.8,1
N05,13,circlerad,black,0.8,1
N06,9,circlerad,black,0.8,1
N07,15,circlerad,black,0.8,1
N08,12,circlerad,black,0.8,1
N09,18,circlerad,black,0.8,1
N10,10,circlerad,black,0.8,1
N11,6,circlerad,black,0.8,1
N12,13,circlerad,black,0.8,1
N13,7,circlerad,black,0.8,1
N14,6,circlerad,black,0.8,1
N15,11,circlerad,black,0.8,1
N16,12,circlerad,black,0.8,1
N17,12,circlerad,black,0.8,1
N18,12,circlerad,black,0.8,1
N19,17,circlerad,black,0.8,1
N20,8,circlerad,black,0.8,1
N21,10,circlerad,black,0.8,1
N22,14,circlerad,black,0.8,1
N23,13,circlerad,black,0.8,1
N24,7,circlerad,black,0.8,1
N25,11,circlerad,black,0.8,1
N26,12,circlerad,black,0.8,1
N27,8,circlerad,black,0.8,1
N28,11,circlerad,black,0.8,1
N29,18,circlerad,black,0.8,1
N30,7,circlerad,black,0.8,1
N31,11,circlerad,black,0.8,1
N32,17,circlerad,black,0.8,1
N33,12,circlerad,black,0.8,1
N34,3,circlerad,black,0.8,1
N35,10,circlerad,black,0.8,1
N36,7,circlerad,black,0.8,1
N37,10,circlerad,black,0.8,1
N38,11,circlerad,black,0.8,1
N39,9,circlerad,black,0.8,1
N40,11,circlerad,black,0.8,1
N41,10,circlerad,black,0.8,1
N42,11,circlerad,black,0.8,1
N43,7,circlerad,black,0.8,1
N44,6,circlerad,black,0.8,1
N45,12,circlerad,black,0.8,1
N46,8,circlerad,black,0.8,1
N47,4,circlerad,black,0.8,1
N48,13,circlerad,black,0.8,1
N49,5,circlerad,black,0.8,1
N50,14,circlerad,black,0.8,1
N51,13,circlerad,black,0.8,1
N52,5,circlerad,black,0.8,1
N53,10,circlerad,black,0.8,1
N54,7,circlerad,black,0.8,1
N55,8,circlerad,black,0.8,1
N56,8,circlerad,black,0.8,1
N57,4,circlerad,black,0.8,1
N58,4,circlerad,black,0.8,1
N59,12,circlerad,black,0.8,1
N60,9,circlerad,black,0.8,1
N61,7,circlerad,black,0.8,1
N62,6,circlerad,black,0.8,1
N63,15,circlerad,black,0.8,1
N64,9,circlerad,black,0.8,1
N65,4,circlerad,black,0.8,1
N66,4,circlerad,black,0.8,1
N67,2,circlerad,black,0.8,1
N68,3,circlerad,black,0.8,1
N69,7,circlerad,black,0.8,1
N70,2,circlerad,black,0.8,1
N71,6,circlerad,black,0.8,1
N72,10,circlerad,black,0.8,1
N73,6,circlerad,black,0.8,1
N74,10,circlerad,black,0.8,1
N75,1,circlerad,black,0.8,1
N76,3,circlerad,black,0.8,1
N78,1,circlerad,black,0.8,1
N79,6,circlerad,black,0.8,1
N80,8,circlerad,black,0.8,1
N81,5,circlerad,black,0.8,1
N82,10,circlerad,black,0.8,1
N83,6,circlerad,black,0.8,1
N84,10,circlerad,black,0.8,1
N85,8,circlerad,black,0.8,1
